so_no,so_seq,so_ref,tgl,target_delivery,buyer,pic,destination,brand,kategori,tipe,item_no,deskripsi,qty,harga,total,mata_uang
SO-2601-001,1,001,2026-01-05,Jan,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,7,1625000,11375000,IDR
SO-2601-001,2,001,2026-01-05,Jan,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,7,1600000,11200000,IDR
SO-2601-002,1,002,2026-01-05,Jan,DWI AGUS SUSILO,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,3,1500000,4500000,IDR
SO-2601-003,1,003,2026-01-05,Jan,PT. MAHAKARYA JASA UTAMA M,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1600000,16000000,IDR
SO-2601-004,1,004,2026-01-06,Jan,PT. DOMINIC TRANS NUSA,PUTRA LUBIS,JAKARTA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,6,1550000,9300000,IDR
SO-2601-005,1,005,2026-01-06,Jan,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,5,850000,4250000,IDR
SO-2601-008,1,008,2026-01-07,Jan,PT. TRIKUSUMA JAYA PERKASA,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,8,1550000,12400000,IDR
SO-2601-006,1,006,2026-01-08,Jan,MARWIN CANDRA GUNAWAN,HARI,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,4,1560000,6240000,IDR
SO-2601-007,1,007,2026-01-08,Jan,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,5,1600000,8000000,IDR
SO-2601-009,1,009,2026-01-09,Jan,PT. BUNGA DARU,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1530000,15300000,IDR
SO-2601-010,1,010,2026-01-09,Jan,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,4,1625000,6500000,IDR
SO-2601-011,1,011,2026-01-09,Jan,PT. TRIKUSUMA JAYA PERKASA,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,8,1550000,12400000,IDR
SO-2601-012,1,012,2026-01-12,Jan,PT. BARRA AKSATA JAYA,ARIF,JAKARTA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,4,1500000,6000000,IDR
SO-2601-013,1,013,2026-01-13,Jan,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,4,850000,3400000,IDR
SO-2601-014,1,014,2026-01-14,Jan,DWI AGUS SUSILO,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,1,1500000,1500000,IDR
SO-2601-015,1,015,2026-01-15,Jan,PT. TRIKUSUMA JAYA PERKASA,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,2,1550000,3100000,IDR
SO-2601-016,1,016,2026-01-19,Jan,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,3,1625000,4875000,IDR
SO-2601-016,2,016,2026-01-19,Jan,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,5,1600000,8000000,IDR
SO-2601-017,1,017,2026-01-19,Jan,PT. MAHAKARYA JASA UTAMA M,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1600000,16000000,IDR
SO-2601-018,1,018,2026-01-19,Jan,PT. BONA PASOGIT SEMESTA,DJOKO,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,7,830000,5810000,IDR
SO-2601-019,1,019,2026-01-20,Jan,PT. BUNGA DARU,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,6,1530000,9180000,IDR
SO-2601-020,1,020,2026-01-20,Jan,PT. BUNGA DARU,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,8,1530000,12240000,IDR
SO-2601-021,1,021,2026-01-20,Jan,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,6,850000,5100000,IDR
SO-2601-022,1,022,2026-01-20,Jan,LARISMA BAN,HANIEF,JAKARTA,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,20,700000,14000000,IDR
